code,pop
AT11,297443
AT12,1698933
AT13,1941513
AT21,564593
AT22,1254074
AT31,1504382
AT32,562795
AT33,763970
AT34,401452
BG31,689870
BG32,702043
BG33,832749
BG34,958947
BG41,2026715
BG42,1313215
CY00,925385
CZ01,1318297
CZ02,1401536
CZ03,1235815
CZ04,1102034
CZ05,1515657
CZ06,1708207
CZ07,1208322
CZ08,1190690
DE11,4151186
DE12,2818765
DE13,2287274
DE14,1875452
DE21,4712854
DE22,1246487
DE23,1112377
DE24,1060747
DE25,1778663
DE26,1316413
DE27,1905835
DE30,3658518
DE40,2533728
DE50,686532
DE60,1846519
DE71,4016173
DE72,1045602
DE73,1212647
DE80,1598972
DE91,1592604
DE92,2139340
DE93,1719996
DE94,2547656
DEA1,5211499
DEA2,4472629
DEA3,2633148
DEA4,2060952
DEA5,3573765
DEB1,1508021
DEB2,531142
DEB3,2063726
DEC0,994945
DED2,1590964
DED4,1412000
DED5,1056119
DEE0,2174641
DEF0,2920975
DEG0,2123220
DK01,1867925
DK02,843210
DK03,1229044
DK04,1340915
DK05,591606
EE00,1342690
EL30,3812111
EL41,197493
EL42,328509
EL43,624623
EL51,565241
EL52,1803406
EL53,255482
EL54,321287
EL61,690632
EL62,204399
EL63,649563
EL64,512273
EL65,542044
ES11,2699846
ES12,1012043
ES13,585732
ES21,2211944
ES22,664956
ES23,320032
ES24,1334053
ES30,6781578
ES41,2390123
ES42,2064009
ES43,1060054
ES51,7795150
ES52,5124551
ES53,1191146
ES61,8514209
ES62,1528085
ES63,83824
ES64,85965
ES70,2190976
FI19,1382786
FI1B,1711789
FI1C,1148069
FI1D,1276024
FI20,30174
FR10,12357913
FRB0,2578777
FRC1,1622520
FRC2,1179456
FRD1,1475636
FRD2,1858709
FRE1,4072724
FRE2,1922445
FRF1,1922305
FRF2,1313183
FRF3,2323205
FRG0,3866181
FRH0,3409343
FRI1,3533623
FRI2,728023
FRI3,1829632
FRJ1,2913660
FRJ2,3135870
FRK1,1369979
FRK2,6769121
FRL0,5154105
FRM0,349352
FRY1,415270
FRY2,361155
FRY3,288012
FRY4,876810
HR02,1024454
HR03,1308741
HR05,771187
HR06,790680
HU11,1693279
HU12,1306091
HU21,1060146
HU22,979061
HU23,865896
HU31,1105353
HU32,1418383
HU33,1211102
IE04,904565
IE05,1698968
IE06,2529325
ITC1,4279008
ITC2,124023
ITC3,1517050
ITC4,9991926
ITF1,1282291
ITF2,295101
ITF3,5650759
ITF4,3930649
ITF5,544824
ITF6,1867894
ITG1,4843707
ITG2,1593322
ITH1,533694
ITH2,543405
ITH3,4863844
ITH4,1200275
ITH5,4446231
ITI1,3678744
ITI2,862941
ITI3,1497570
ITI4,5734889
LT01,824695
LT02,2005655
LU00,642164
LV00,1895072
MT00,524936
NL11,590730
NL12,654089
NL13,497423
NL21,1171774
NL22,2107963
NL23,433015
NL32,2910051
NL34,386907
NL35,1369286
NL36,3751324
NL41,2590922
NL42,1121522
PL21,3336049
PL22,4335216
PL41,3456781
PL42,1620703
PL43,971575
PL51,2834174
PL52,914629
PL61,1984191
PL62,1339379
PL63,2300850
PL71,2384421
PL72,1166407
PL81,2001951
PL82,2006032
PL84,1108532
PL91,3197713
PL92,2252852
PT11,3619539
PT15,471303
PT19,1674394
PT1A,2091211
PT1B,821558
PT1C,472943
PT1D,832575
PT20,238750
PT30,252732
SE11,2403863
SE12,1742940
SE21,874897
SE22,1553642
SE23,2077901
SE31,857743
SE32,375750
SE33,523703
SI03,1103808
SI04,1001832
SK01,698509
SK02,1815223
SK03,1321364
SK04,1607613
